length,error_rate,strategy,samples,mean_share,standard_error,ci95_low,ci95_high,first30_mean_share
1,0.175,Cheater,1000,0.3935555555555557,0.0033603546451775016,0.3869692604510078,0.4001418506601036,0.42407407407407416
1,0.175,Copycat,1000,0.0,0.0,0,0.0,0.0
1,0.175,Copykitten,1000,0.0,0.0,0,0.0,0.0
1,0.175,Copy3kitten,1000,0.0,0.0,0,0.0,0.0
1,0.175,NegtiveCopycat,1000,0.2454999999999999,0.002451307213550217,0.24069543786144149,0.25030456213855834,0.22500000000000003
1,0.175,NegtiveCopykitten,1000,0.36094444444444423,0.0032581476362876873,0.35455847507732036,0.3673304138115681,0.3509259259259259
1,0.175,Grudger,1000,0.0,0.0,0,0.0,0.0
1,0.2,Random,1000,0.0,0.0,0,0.0,0.0
1,0.2,Cooperator,1000,0.0,0.0,0,0.0,0.0
1,0.2,Cheater,1000,0.39299999999999974,0.003278722560169569,0.3865737037820674,0.3994262962179321,0.4018518518518519
1,0.2,Copycat,1000,0.0,0.0,0,0.0,0.0
1,0.2,Copykitten,1000,0.0,0.0,0,0.0,0.0
1,0.2,Copy3kitten,1000,0.0,0.0,0,0.0,0.0
1,0.2,NegtiveCopycat,1000,0.24827777777777785,0.002435882392317421,0.2435034482888357,0.25305210726672,0.2361111111111111
1,0.2,NegtiveCopykitten,1000,0.3587222222222223,0.0031838885667788215,0.3524818006313358,0.3649626438131088,0.3620370370370371
1,0.2,Grudger,1000,0.0,0.0,0,0.0,0.0
1,0.225,Random,1000,0.0,0.0,0,0.0,0.0
1,0.225,Cooperator,1000,0.0,0.0,0,0.0,0.0
1,0.225,Cheater,1000,0.39583333333333354,0.003246455707359187,0.38947028014690954,0.40219638651975753,0.387037037037037
1,0.225,Copycat,1000,0.0,0.0,0,0.0,0.0
1,0.225,Copykitten,1000,0.0,0.0,0,0.0,0.0
1,0.225,Copy3kitten,1000,0.0,0.0,0,0.0,0.0
1,0.225,NegtiveCopycat,1000,0.241777777777778,0.002387236148203922,0.23709879492729832,0.2464567606282577,0.2351851851851852
